"","rid","race","latino","age","vote04","tvnews","newspaper","internet","approval","bush.th","obama.th","mccain.th","partyid","income"
"1",1,4,2,34,1,0,0,NA,1,85,25,60,3,24
"23",23,4,1,37,0,7,0,NA,0,0,60,60,1,19
"30",30,4,1,37,1,NA,NA,7,0,40,70,60,3,21
"36",36,4,2,24,0,0,0,NA,1,70,70,50,3,NA
"37",37,4,2,28,0,NA,NA,0,0,25,85,50,3,NA
"42",42,4,2,39,0,NA,NA,0,1,100,0,85,3,14
"45",45,4,2,46,1,3,3,NA,1,50,NA,50,2,20
"52",52,4,2,47,1,0,3,NA,0,0,25,25,3,19
"63",63,4,1,25,0,NA,NA,7,0,30,40,60,2,NA
"72",72,4,2,34,1,NA,NA,4,0,15,60,40,5,19
"79",79,4,2,29,1,4,0,NA,0,0,70,15,1,11
"84",84,4,2,61,0,NA,NA,0,0,40,70,50,1,NA
"99",99,4,2,45,1,NA,NA,5,1,100,60,85,2,19
"107",107,4,1,28,1,NA,NA,3,0,0,70,15,3,NA
"108",108,4,1,56,1,NA,NA,0,0,0,70,0,1,17
"109",109,4,1,26,0,NA,NA,0,0,0,85,50,3,NA
"111",111,4,1,37,0,NA,NA,4,0,15,60,40,1,18
"112",112,4,1,29,0,3,2,NA,0,50,50,40,1,NA
"113",113,4,1,58,0,6,0,NA,0,60,85,70,3,NA
"114",114,4,1,30,0,1,0,NA,1,70,85,70,1,11
"115",115,4,1,19,0,NA,NA,0,0,0,85,0,3,20
"117",117,4,1,35,0,1,0,NA,0,15,70,40,1,NA
"119",119,4,1,35,1,2,6,NA,1,0,70,60,5,18
"120",120,4,2,73,1,7,0,NA,0,50,60,60,1,10
"122",122,4,2,35,1,NA,NA,7,0,40,60,70,3,NA
"123",123,4,2,20,0,1,5,NA,0,40,50,50,3,18
"136",136,4,2,57,1,7,7,NA,0,15,70,40,3,8
"138",138,4,1,36,1,5,0,NA,0,0,85,70,1,25
"162",162,4,2,34,1,1,0,NA,0,15,70,50,2,24
"168",168,4,1,46,1,6,0,NA,0,40,85,40,1,12
"169",169,4,2,63,0,1,0,NA,1,70,70,70,NA,25
"170",170,4,1,53,0,2,0,NA,0,0,50,70,2,9
"171",171,4,1,50,0,NA,NA,0,0,60,100,60,1,15
"172",172,4,1,44,1,NA,NA,5,1,60,85,60,1,14
"173",173,4,1,65,1,NA,NA,0,0,60,100,40,1,14
"175",175,4,2,NA,0,NA,NA,0,0,0,85,40,1,NA
"183",183,4,1,27,1,NA,NA,7,0,10,90,35,3,22
"184",184,4,1,20,0,NA,NA,0,0,30,60,50,3,16
"185",185,4,2,20,0,NA,NA,4,0,30,70,50,5,8
"190",190,4,1,32,1,0,4,NA,1,85,60,70,1,22
"193",193,4,2,32,1,3,3,NA,0,0,85,15,1,20
"197",197,4,2,56,0,NA,NA,1,0,30,50,30,5,15
"202",202,4,2,45,1,7,2,NA,1,70,15,60,2,25
"206",206,4,1,63,1,7,0,NA,0,50,60,60,1,NA
"213",213,4,1,18,0,0,0,NA,0,30,50,40,5,17
"214",214,4,2,40,0,7,4,NA,0,0,85,0,1,18
"215",215,4,1,50,1,6,7,NA,0,30,85,50,1,13
"216",216,4,1,27,1,3,0,NA,0,40,100,30,1,13
"217",217,4,1,26,0,NA,NA,1,0,60,30,100,3,NA
"220",220,4,1,18,0,3,3,NA,0,0,70,70,2,NA
"223",223,4,1,46,1,NA,NA,1,1,85,50,70,2,17
"224",224,4,1,18,0,0,0,NA,0,15,100,15,3,NA
"225",225,4,1,36,1,NA,NA,3,0,15,85,50,1,19
"228",228,4,1,18,0,0,0,NA,0,40,70,40,1,NA
"229",229,4,1,45,1,0,0,NA,0,50,100,40,1,19
"230",230,4,1,44,1,7,0,NA,0,20,70,20,1,18
"231",231,4,1,31,0,2,0,NA,0,0,70,50,4,12
"242",242,4,1,44,1,NA,NA,0,1,100,40,85,2,17
"244",244,4,1,72,1,7,7,NA,0,15,50,50,1,25
"252",252,4,1,34,0,3,0,NA,0,0,100,15,1,NA
"254",254,4,2,47,1,3,0,NA,0,0,100,0,1,15
"259",259,4,1,31,1,NA,NA,7,0,40,85,50,1,13
"260",260,4,1,50,0,NA,NA,3,1,60,70,60,3,23
"262",263,4,1,43,1,NA,NA,7,0,15,85,15,1,18
"266",267,4,1,42,NA,0,0,NA,0,40,50,70,3,16
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",286,4,1,37,1,NA,NA,7,0,0,100,0,1,NA
"290",291,4,1,60,0,NA,NA,7,0,15,50,70,3,NA
"300",301,4,2,23,0,NA,NA,5,0,40,40,40,2,7
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",304,4,1,19,0,0,0,NA,0,0,70,40,1,NA
"304",305,4,2,48,0,3,1,NA,0,70,85,70,1,NA
"307",308,4,1,39,0,7,0,NA,0,50,70,60,NA,NA
"311",312,4,1,59,1,7,0,NA,1,70,0,85,2,NA
"318",319,4,1,40,0,0,3,NA,0,50,50,50,3,13
"327",328,4,1,33,1,5,3,NA,0,0,85,30,1,19
"342",343,4,1,31,1,NA,NA,2,0,35,85,60,1,24
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",374,4,1,23,0,7,0,NA,0,50,100,85,3,15
"378",379,4,1,48,0,7,7,NA,0,50,50,40,1,13
"385",386,4,1,40,0,NA,NA,0,0,40,70,85,3,NA
"386",387,4,1,62,0,7,0,NA,1,NA,NA,NA,NA,3
"387",388,4,1,50,1,NA,NA,0,0,15,60,15,1,7
"388",389,4,2,50,1,7,1,NA,1,60,60,60,3,NA
"389",390,4,1,39,0,NA,NA,0,0,30,40,40,1,NA
"390",391,4,1,23,0,4,3,NA,0,0,100,15,1,NA
"391",392,4,1,45,1,7,3,NA,0,0,100,50,1,18
"392",393,4,1,58,0,NA,NA,0,0,0,100,0,1,NA
"393",394,4,1,56,1,4,2,NA,0,0,85,40,3,17
"395",396,4,1,55,1,NA,NA,7,0,0,70,50,3,17
"396",397,4,1,42,0,NA,NA,0,1,50,85,50,1,3
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",414,4,1,22,1,7,7,NA,0,15,100,0,1,13
"415",416,4,1,19,0,3,0,NA,0,40,60,50,3,11
"416",417,4,1,23,0,NA,NA,0,0,60,70,60,3,1
"417",418,4,1,43,0,NA,NA,1,0,15,70,40,3,6
"438",439,4,1,37,1,NA,NA,0,0,0,100,0,1,14
"441",442,4,1,74,0,NA,NA,0,1,NA,NA,NA,5,NA
"443",444,4,1,22,0,2,0,NA,0,60,70,0,3,11
"450",451,4,1,18,0,NA,NA,5,0,0,50,40,1,NA
"458",459,4,1,18,0,NA,NA,4,1,50,60,50,3,1
"465",466,4,1,17,0,NA,NA,5,0,15,85,60,3,10
"469",470,4,1,18,0,3,0,NA,0,0,100,30,1,10
"476",477,4,2,22,1,NA,NA,0,0,40,85,40,3,NA
"478",479,4,1,21,0,2,2,NA,0,0,60,30,3,NA
"482",483,4,2,57,1,NA,NA,6,0,60,85,60,1,10
"486",487,4,2,42,0,NA,NA,0,0,0,75,0,1,NA
"495",496,4,2,53,1,NA,NA,0,0,50,70,0,1,NA
"514",515,4,1,69,1,NA,NA,7,0,0,85,0,1,NA
"522",523,4,2,43,0,NA,NA,5,0,0,100,30,1,NA
"525",526,4,2,69,1,7,7,NA,0,50,70,50,3,NA
"544",545,4,2,49,1,4,2,NA,0,0,70,40,3,NA
"572",573,4,1,36,1,NA,NA,7,0,15,85,70,3,18
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574",575,4,1,23,0,NA,NA,1,0,60,40,70,2,15
"614",615,4,1,53,1,NA,NA,0,1,50,40,60,1,18
"616",617,4,1,21,1,NA,NA,7,0,0,70,15,NA,NA
"619",620,4,1,76,0,5,5,NA,NA,NA,NA,NA,NA,NA
"628",629,4,2,49,1,7,0,NA,0,30,85,30,1,NA
"637",638,4,1,34,0,3,2,NA,0,60,85,40,1,18
"643",644,4,1,77,1,2,0,NA,0,50,70,50,1,NA
"685",686,4,1,41,0,7,0,NA,0,40,15,85,3,17
"754",755,4,1,49,1,NA,NA,0,0,50,30,50,3,22
"778",779,4,1,37,0,7,0,NA,0,15,50,50,5,24
"853",854,4,1,45,0,NA,NA,7,1,100,NA,NA,5,15
"857",858,4,2,49,0,NA,NA,7,0,40,60,40,3,18
"861",862,4,1,60,1,7,3,NA,1,70,60,70,2,NA
"962",963,4,1,37,0,7,0,NA,0,50,60,40,1,8
"965",966,4,1,20,0,NA,NA,0,0,30,60,50,3,17
"967",968,4,2,40,0,NA,NA,0,1,85,70,70,3,11
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1021",1022,4,1,79,1,NA,NA,0,0,40,100,60,1,NA
"1039",1040,4,1,58,1,5,1,NA,0,30,85,60,1,NA
"1041",1042,4,1,58,1,NA,NA,0,0,50,50,30,NA,1
"1057",1058,4,2,64,1,NA,NA,0,0,0,85,30,1,NA
"1072",1073,4,2,50,1,NA,NA,2,1,70,40,60,2,NA
"1082",1083,4,1,32,1,1,0,NA,0,30,85,50,1,19
"1102",1103,4,2,51,1,NA,NA,7,0,0,30,30,1,NA
"1237",1238,4,1,53,1,0,0,NA,0,0,30,0,4,19
"1279",1280,4,1,37,1,NA,NA,0,0,30,70,40,1,14
"1297",1298,4,2,38,0,NA,NA,0,NA,15,30,25,NA,NA
"1301",1302,4,2,43,1,7,7,NA,0,40,70,60,1,25
"1312",1313,4,1,37,0,NA,NA,7,1,15,60,50,1,17
"1314",1315,4,1,36,0,NA,NA,0,0,0,85,85,1,NA
"1315",1316,4,1,22,0,2,4,NA,1,30,60,50,3,2
"1316",1317,4,1,49,1,NA,NA,0,1,60,60,70,3,18
"1317",1318,4,1,49,1,NA,NA,0,0,15,15,15,1,18
"1327",1328,4,1,55,1,NA,NA,5,1,85,70,30,1,21
"1328",1329,4,1,66,1,NA,NA,0,0,70,85,50,1,NA
"1329",1330,4,1,52,0,0,0,NA,0,0,70,0,3,19
"1334",1335,4,1,67,1,NA,NA,0,0,70,100,60,1,13
"1336",1337,4,1,28,0,NA,NA,0,NA,50,70,50,5,NA
"1338",1339,4,1,54,0,7,0,NA,0,0,0,0,1,6
"1342",1343,4,1,52,0,7,7,NA,0,70,85,50,1,NA
"1347",1348,4,1,35,1,NA,NA,3,0,15,60,85,3,21
"1348",1349,4,1,40,0,1,1,NA,1,60,15,60,3,17
"1350",1351,4,1,80,1,NA,NA,0,1,50,NA,50,2,NA
"1351",1352,4,1,63,0,7,0,NA,1,1,1,1,1,NA
"1352",1353,4,1,49,0,NA,NA,0,1,70,85,85,3,8
"1354",1355,4,1,70,1,NA,NA,0,0,50,50,0,1,NA
"1360",1361,4,1,17,0,NA,NA,0,0,40,85,60,3,9
"1363",1364,4,1,29,1,7,1,NA,0,15,100,50,1,17
"1365",1366,4,1,40,1,0,2,NA,0,50,50,50,3,12
"1368",1369,4,1,28,0,NA,NA,0,1,70,50,50,1,8
"1376",1377,4,1,60,0,1,0,NA,0,40,40,40,3,NA
"1386",1387,4,1,22,0,2,5,NA,0,5,50,50,5,14
"1400",1401,4,1,53,1,1,6,NA,0,50,40,60,2,18
"1408",1409,4,1,26,1,5,0,NA,0,0,85,15,3,16
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1421",1422,4,2,89,0,NA,NA,0,NA,85,50,100,3,4
"1425",1426,4,1,28,0,NA,NA,0,0,0,100,15,1,5
"1429",1430,4,2,45,1,1,7,NA,0,15,85,60,1,24
"1450",1451,4,2,64,1,7,0,NA,0,15,70,50,1,16
"1456",1457,4,1,44,1,2,1,NA,0,0,85,40,1,14
"1487",1488,4,2,23,0,2,3,NA,0,0,75,15,3,NA
"1488",1489,4,1,76,0,7,7,NA,NA,40,100,0,NA,NA
"1494",1495,4,2,47,0,NA,NA,2,0,50,50,50,3,17
"1508",1509,4,2,23,1,7,2,NA,0,15,85,50,3,NA
"1511",1512,4,2,32,0,NA,NA,4,0,0,70,85,3,18
"1512",1513,4,2,61,1,1,7,NA,0,60,70,70,3,3
"1513",1514,4,2,54,1,NA,NA,7,0,30,50,40,1,19
"1515",1516,4,1,30,0,1,0,NA,0,0,85,50,1,11
"1520",1521,4,2,59,NA,NA,NA,0,1,85,50,60,3,NA
"1526",1527,4,2,28,0,NA,NA,1,0,40,60,50,3,18
"1528",1529,4,2,55,1,5,0,NA,0,0,85,15,1,NA
"1550",1551,4,1,32,1,NA,NA,3,0,30,70,40,3,2
"1596",1597,4,1,29,0,0,0,NA,0,50,70,70,3,7
"1641",1642,4,1,19,0,1,0,NA,1,85,70,70,2,19
"1643",1644,4,1,56,1,7,2,NA,0,30,60,85,2,22
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1664",1665,4,1,18,NA,5,0,NA,0,15,30,NA,3,3
"1666",1667,4,1,56,1,3,4,NA,0,40,70,40,3,12
"1668",1669,4,1,43,0,NA,NA,0,0,60,5,5,3,15
"1674",1675,4,1,47,1,NA,NA,1,0,15,100,30,1,19
"1676",1677,4,1,53,0,4,5,NA,0,15,100,50,1,NA
"1709",1710,4,2,35,1,NA,NA,7,0,60,70,70,2,21
"1720",1721,4,1,48,0,NA,NA,0,0,0,70,50,1,12
"1724",1725,4,1,29,0,NA,0,NA,0,40,50,50,3,14
"1725",1726,4,1,28,0,1,0,NA,0,50,85,50,3,13
"1729",1730,4,1,41,1,NA,NA,7,0,0,70,50,1,14
"1838",1839,4,2,45,0,4,3,NA,0,40,60,60,3,23
"1849",1850,4,1,68,1,7,7,NA,0,30,30,70,3,NA
"1899",1900,4,2,47,0,1,2,NA,0,30,100,15,1,20
"1902",1903,4,2,53,1,7,2,NA,0,15,100,15,1,NA
"1903",1904,4,1,48,0,2,0,NA,0,70,85,60,1,4
"1906",1907,4,1,32,1,NA,NA,5,0,15,70,40,3,16
"1908",1909,4,1,36,0,NA,NA,0,0,50,50,50,5,NA
"1909",1910,4,1,19,0,NA,NA,0,0,0,100,30,3,8
"1911",1912,4,1,69,0,0,2,NA,0,50,70,60,1,12
"1912",1913,4,1,47,0,NA,NA,0,0,40,100,50,1,NA
"1913",1914,4,1,51,1,7,3,NA,1,85,30,100,3,NA
"1917",1918,4,1,87,1,6,1,NA,0,60,50,60,1,NA
"1938",1939,4,2,31,1,5,0,NA,1,70,0,70,2,NA
"1939",1940,4,2,60,0,NA,NA,7,1,70,0,0,3,22
"1943",1944,4,1,23,0,1,1,NA,1,60,70,60,3,NA
"1947",1948,4,1,40,1,NA,NA,3,1,100,0,100,2,NA
"1953",1954,4,1,62,NA,NA,NA,0,0,0,70,50,1,7
"1956",1957,4,1,52,0,NA,NA,0,0,14,50,50,3,7
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1967",1968,4,1,NA,0,0,1,NA,0,50,50,50,3,4
"1970",1971,4,1,34,0,7,5,NA,0,0,70,50,1,16
"1989",1990,4,1,24,1,0,7,NA,0,0,60,50,3,NA
"1992",1993,4,1,34,0,NA,NA,0,1,60,0,85,3,15
"1995",1996,4,2,41,1,NA,NA,7,1,100,15,100,2,16
"1998",1999,4,1,25,0,7,1,NA,0,0,100,30,1,17
"2008",2009,4,1,54,1,3,7,NA,0,50,70,30,1,NA
"2018",2019,4,1,64,1,7,0,NA,0,0,100,0,1,11
"2019",2020,4,1,28,0,0,0,NA,0,0,85,30,3,NA
"2022",2023,4,1,49,0,NA,NA,0,0,0,100,0,3,NA
"2023",2024,4,2,69,1,NA,NA,7,0,40,85,40,1,24
"2025",2026,4,1,20,0,NA,NA,0,0,60,40,60,3,NA
"2026",2027,4,1,27,1,4,5,NA,0,40,60,85,2,17
"2030",2031,4,1,38,1,5,3,NA,0,50,100,50,1,18
"2034",2035,4,1,30,0,0,0,NA,0,70,70,70,5,22
"2037",2038,4,1,66,1,NA,NA,0,0,50,70,50,1,11
"2038",2039,4,1,21,0,0,3,NA,0,50,70,40,NA,NA
"2045",2046,4,1,30,0,NA,NA,2,0,40,85,30,1,15
"2046",2047,4,1,35,0,1,0,NA,0,30,60,70,3,22
"2049",2050,4,1,41,0,NA,NA,7,0,0,85,15,3,18
"2062",2063,4,1,19,0,NA,NA,1,0,60,85,70,2,17
"2064",2065,4,1,25,0,NA,NA,0,0,30,60,50,3,17
"2071",2072,4,1,39,1,NA,NA,0,0,15,75,75,1,14
"2080",2081,4,1,27,0,3,6,NA,1,40,60,50,5,18
"2082",2083,4,1,33,1,5,4,NA,0,30,85,50,1,20
"2088",2089,4,1,33,0,NA,NA,7,0,60,85,60,5,20
"2090",2091,4,1,30,1,NA,NA,5,0,30,85,15,5,19
"2091",2092,4,1,41,0,1,1,NA,0,0,100,50,5,23
"2092",2093,4,1,42,0,7,0,NA,0,30,70,60,3,14
"2096",2097,4,1,37,0,NA,NA,0,0,40,60,50,1,17
"2100",2101,4,1,50,1,5,2,NA,0,50,85,60,1,18
"2130",2131,4,1,49,0,NA,NA,5,0,40,50,60,2,2
"2131",2132,4,1,82,1,2,7,NA,0,30,85,40,1,12
"2134",2135,4,1,52,0,NA,NA,0,0,50,100,70,3,13
"2138",2139,4,1,21,0,0,0,NA,0,0,60,15,3,12
"2142",2143,4,1,18,0,NA,NA,1,0,30,70,60,1,NA
"2153",2154,4,1,59,1,NA,NA,0,0,80,70,90,3,10
"2154",2155,4,1,18,0,NA,NA,0,0,30,60,50,5,NA
"2165",2166,4,1,26,0,2,0,NA,0,30,85,40,1,14
"2168",2169,4,1,33,1,NA,NA,3,0,30,60,50,3,NA
"2171",2172,4,1,20,0,NA,NA,0,1,50,0,100,3,17
"2176",2177,4,1,27,0,NA,NA,0,0,0,85,0,3,18
"2189",2190,4,1,23,0,0,2,NA,1,15,0,50,3,15
"2215",2216,4,2,63,1,7,0,NA,0,0,50,50,1,7
"2217",2218,4,1,39,1,NA,NA,7,0,50,70,70,3,NA
"2227",2228,4,1,38,0,1,3,NA,NA,50,50,50,5,21
"2239",2240,4,1,44,1,7,7,NA,0,0,100,0,1,13
"2240",2241,4,1,23,1,NA,NA,2,0,15,85,50,1,12
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2276",2277,4,2,24,1,NA,NA,2,0,15,70,30,3,1
"2279",2280,4,2,34,0,NA,NA,5,0,30,85,30,1,NA
"2298",2299,4,2,23,0,NA,NA,7,0,0,85,50,3,NA
"2299",2300,4,2,37,1,0,0,NA,0,15,85,85,1,NA
